lease_number,prod_dt,sub_type,primary_taxpayer_,comm_code,lse_typ,cnty/_dpi,exmt_typ,api_nbr,off_lease,other_party_taxpayer,secondary_tp_name,tax_reimb,ttl_lease_volume,your_volume,your_value,tax_due,gr_volume,gr_value,marketing_cost,net_tax_value,tax_rate,05_tax_due,error_status
7C-017147-O,1/1/2022,Pro,13646174337,RG,OIL,7/NO,,,YES,,,NO,36,36,$205.08 ,YES,0,$0.00 ,$452.27 ,$0.00 ,0,$0.00 ,NO
7C-017147-O,1/1/2022,Pro,17523477697,RG,OIL,165/NO,,,NO,17523477697,XTO ENERGY INC.,NO,0,1112,"$6,132.19 ",YES,1,$6.92 ,"$6,125.27 ",$0.00 ,0,$0.00 ,NO
7C-017147-O,1/1/2022,Pro,17523477697,RS,OIL,165/NO,,,NO,17523477697,XTO ENERGY INC.,NO,0,25900,"$107,692.39 ",YES,29,$121.24 ,"$24,591.13 ","$82,980.02 ",0,$0.00 ,NO
7C-017147-O,1/1/2022,Pro,17523477697,PR,OIL,165/NO,,,NO,11354015700,EXXONMOBIL OIL CORPORATION,NO,0,31275,"$117,601.55 ",YES,35,$132.69 ,$927.81 ,"$116,541.05 ",0,$0.00 ,NO
7C-017147-O,1/1/2022,Pro,17523477697,PR,OIL,165/NO,,,NO,12010879950,"ENERGY TRANSFER FUEL, LP",NO,0,244,"$10,638.75 ",YES,1,$12.05 ,$42.31 ,"$10,584.39 ",0,$0.00 ,NO
7C-017147-O,2/1/2022,Pro,13646174337,RG,OIL,7/NO,,,YES,,,NO,50,50,$310.11 ,YES,0,$0.00 ,$604.13 ,$0.00 ,0,$0.00 ,NO
7C-017147-O,2/1/2022,Pro,17523477697,RG,OIL,165/NO,,,NO,17523477697,XTO ENERGY INC.,NO,0,1308,"$9,407.35 ",YES,2,$10.62 ,"$9,396.73 ",$0.00 ,0,$0.00 ,NO
7C-017147-O,2/1/2022,Pro,17523477697,RS,OIL,165/NO,,,NO,17523477697,XTO ENERGY INC.,NO,0,27753,"$149,941.75 ",YES,31,$168.86 ,"$29,859.94 ","$119,912.95 ",0,$0.00 ,NO
7C-017147-O,2/1/2022,Pro,17523477697,PR,OIL,165/NO,,,NO,11354015700,EXXONMOBIL OIL CORPORATION,NO,0,36162,"$185,160.81 ",YES,41,$208.96 ,"$1,451.26 ","$183,500.59 ",0,$0.00 ,NO
7C-017147-O,2/1/2022,Pro,17523477697,PR,OIL,165/NO,,,NO,12010879950,"ENERGY TRANSFER FUEL, LP",NO,0,247,"$11,542.93 ",YES,1,$13.02 ,$42.47 ,"$11,487.44 ",0,$0.00 ,NO
7C-017147-O,3/1/2022,Pro,13646174337,RG,OIL,7/NO,,,YES,,,NO,41,41,$274.56 ,YES,0,$0.00 ,$820.61 ,$0.00 ,0,$0.00 ,NO
7C-017147-O,3/1/2022,Pro,17523477697,RG,OIL,165/NO,,,NO,17523477697,XTO ENERGY INC.,NO,0,1645,"$9,913.50 ",YES,2,$11.19 ,"$9,902.31 ",$0.00 ,0,$0.00 ,NO
7C-017147-O,3/1/2022,Pro,17523477697,RS,OIL,165/NO,,,NO,17523477697,XTO ENERGY INC.,NO,0,30507,"$136,473.79 ",YES,34,$153.64 ,"$31,433.73 ","$104,886.42 ",0,$0.00 ,NO
7C-017147-O,3/1/2022,Pro,17523477697,PR,OIL,165/NO,,,NO,11354015700,EXXONMOBIL OIL CORPORATION,NO,0,40102,"$214,391.79 ",YES,45,$241.99 ,"$1,655.63 ","$212,494.17 ",0,$0.00 ,NO
7C-017147-O,3/1/2022,Pro,17523477697,PR,OIL,165/NO,,,NO,12010879950,"ENERGY TRANSFER FUEL, LP",NO,0,285,"$19,470.60 ",YES,1,$21.96 ,$49.24 ,"$19,399.40 ",0,$0.00 ,NO
7C-017147-O,3/1/2022,Pro,17523477697,RG,OIL,231/NO,,,NO,17523477697,XTO ENERGY INC.,NO,0,30681,"$384,576.36 ",YES,35,$432.84 ,"$42,374.41 ","$341,769.11 ",0,$0.00 ,NO
7C-017147-O,4/1/2022,Pro,13646174337,RG,OIL,7/NO,,,YES,,,NO,23,23,$168.46 ,YES,0,$0.00 ,$199.96 ,$0.00 ,0,$0.00 ,NO
7C-017147-O,4/1/2022,Pro,17523477697,RG,OIL,165/NO,,,NO,17523477697,XTO ENERGY INC.,NO,0,1350,"$9,556.70 ",YES,2,$10.78 ,"$9,545.92 ",$0.00 ,0,$0.00 ,NO
7C-017147-O,4/1/2022,Pro,17523477697,RS,OIL,165/NO,,,NO,17523477697,XTO ENERGY INC.,NO,0,30308,"$165,173.16 ",YES,34,$185.99 ,"$32,810.92 ","$132,176.25 ",0,$0.00 ,NO
7C-017147-O,4/1/2022,Pro,17523477697,PR,OIL,165/NO,,,NO,11354015700,EXXONMOBIL OIL CORPORATION,NO,0,38747,"$206,123.88 ",YES,44,$232.59 ,"$1,456.30 ","$204,434.99 ",0,$0.00 ,NO
7C-017147-O,4/1/2022,Pro,17523477697,PR,OIL,165/NO,,,NO,12010879950,"ENERGY TRANSFER FUEL, LP",NO,0,303,"$17,252.82 ",YES,1,$19.49 ,$52.18 ,"$17,181.15 ",0,$0.00 ,NO
7C-017147-O,4/1/2022,Pro,17523477697,RG,OIL,231/NO,,,NO,17523477697,XTO ENERGY INC.,NO,0,48755,"$609,196.21 ",YES,55,$685.47 ,"$62,169.61 ","$546,341.13 ",0,$0.00 ,NO
7C-017147-O,5/1/2022,Pro,13646174337,RG,OIL,7/NO,,,YES,,,NO,67,67,$573.80 ,YES,0,$0.00 ,$626.80 ,$0.00 ,0,$0.00 ,NO
7C-017147-O,5/1/2022,Pro,17523477697,RG,OIL,165/NO,,,NO,17523477697,XTO ENERGY INC.,NO,0,1808,"$17,123.12 ",YES,2,$19.29 ,"$17,103.83 ",$0.00 ,0,$0.00 ,NO
7C-017147-O,5/1/2022,Pro,17523477697,RS,OIL,165/NO,,,NO,17523477697,XTO ENERGY INC.,NO,0,37697,"$273,249.36 ",YES,43,$307.81 ,"$41,732.26 ","$231,209.29 ",0,$0.00 ,NO
7C-017147-O,5/1/2022,Pro,17523477697,PR,OIL,165/NO,,,NO,11354015700,EXXONMOBIL OIL CORPORATION,NO,0,48595,"$256,171.17 ",YES,55,$289.05 ,"$1,880.57 ","$254,001.55 ",0,$0.00 ,NO
7C-017147-O,5/1/2022,Pro,17523477697,PR,OIL,165/NO,,,NO,12010879950,"ENERGY TRANSFER FUEL, LP",NO,0,316,"$19,122.13 ",YES,1,$21.60 ,$54.87 ,"$19,045.66 ",0,$0.00 ,NO
7C-017147-O,5/1/2022,Pro,17523477697,RG,OIL,231/NO,,,NO,17523477697,XTO ENERGY INC.,NO,0,49422,"$721,614.73 ",YES,56,$812.02 ,"$69,534.58 ","$651,268.13 ",0,$0.00 ,NO
7C-017147-O,6/1/2022,Pro,13646174337,RG,OIL,7/NO,,,YES,,,NO,61,61,$499.69 ,YES,0,$0.00 ,$620.80 ,$0.00 ,0,$0.00 ,NO
7C-017147-O,6/1/2022,Pro,17523477697,RG,OIL,165/NO,,,NO,17523477697,XTO ENERGY INC.,NO,0,1843,"$20,021.81 ",YES,2,$22.56 ,"$19,999.25 ",$0.00 ,0,$0.00 ,NO
7C-017147-O,6/1/2022,Pro,17523477697,RS,OIL,165/NO,,,NO,17523477697,XTO ENERGY INC.,NO,0,37439,"$309,837.22 ",YES,42,$349.07 ,"$43,732.24 ","$265,755.91 ",0,$0.00 ,NO
7C-017147-O,6/1/2022,Pro,17523477697,PR,OIL,165/NO,,,NO,11354015700,EXXONMOBIL OIL CORPORATION,NO,0,48514,"$261,306.16 ",YES,55,$294.91 ,"$1,911.73 ","$259,099.52 ",0,$0.00 ,NO
7C-017147-O,6/1/2022,Pro,17523477697,PR,OIL,165/NO,,,NO,12010879950,"ENERGY TRANSFER FUEL, LP",NO,0,311,"$21,921.94 ",YES,1,$24.80 ,$53.20 ,"$21,843.94 ",0,$0.00 ,NO
7C-017147-O,6/1/2022,Pro,17523477697,RG,OIL,231/NO,,,NO,17523477697,XTO ENERGY INC.,NO,0,76329,"$1,206,442.01 ",YES,88,"$1,357.81 ","$111,341.45 ","$1,093,742.75 ",0,$0.00 ,NO
7C-017147-O,6/1/2022,Pro,17523477697,RG,OIL,231/NO,,,NO,17605078918,TARGA MIDSTREAM SERVICES LLC,YES,0,4079,"$28,317.86 ",YES,5,$33.75 ,"$4,840.85 ","$23,443.26 ",0,$0.00 ,NO
7C-017147-O,7/1/2022,Pro,13646174337,RG,OIL,7/NO,,,YES,,,NO,63,63,$481.65 ,YES,0,$0.00 ,$470.68 ,$10.97 ,0,$0.00 ,NO
7C-017147-O,7/1/2022,Pro,17523477697,RG,OIL,165/NO,,,NO,17523477697,XTO ENERGY INC.,NO,0,1975,"$18,859.70 ",YES,2,$21.27 ,"$18,838.43 ",$0.00 ,0,$0.00 ,NO
7C-017147-O,7/1/2022,Pro,17523477697,RS,OIL,165/NO,,,NO,17523477697,XTO ENERGY INC.,NO,0,42255,"$314,439.43 ",YES,48,$354.41 ,"$41,339.65 ","$272,745.37 ",0,$0.00 ,NO
7C-017147-O,7/1/2022,Pro,17523477697,PR,OIL,165/NO,,,NO,11354015700,EXXONMOBIL OIL CORPORATION,NO,0,53690,"$238,006.01 ",YES,61,$268.56 ,"$1,973.20 ","$235,764.25 ",0,$0.00 ,NO
7C-017147-O,7/1/2022,Pro,17523477697,PR,OIL,165/NO,,,NO,12010879950,"ENERGY TRANSFER FUEL, LP",NO,0,310,"$17,398.90 ",YES,1,$19.65 ,$53.50 ,"$17,325.75 ",0,$0.00 ,NO
7C-017147-O,7/1/2022,Pro,17523477697,RG,OIL,231/NO,,,NO,17523477697,XTO ENERGY INC.,NO,0,130750,"$1,846,915.68 ",YES,149,"$2,079.62 ","$152,417.65 ","$1,692,418.41 ",0,$0.00 ,NO
7C-017147-O,7/1/2022,Pro,17523477697,RG,OIL,231/NO,,,NO,17605078918,TARGA MIDSTREAM SERVICES LLC,YES,0,23704,"$130,281.09 ",YES,27,$154.48 ,"$28,393.26 ","$101,733.35 ",0,$0.00 ,NO
7C-017147-O,8/1/2022,Pro,13646174337,RG,OIL,7/NO,,,YES,,,NO,62,62,$511.66 ,YES,0,$0.00 ,$585.87 ,$0.00 ,0,$0.00 ,NO
7C-017147-O,8/1/2022,Pro,17523477697,RG,OIL,165/NO,,,NO,17523477697,XTO ENERGY INC.,NO,0,1900,"$24,866.12 ",YES,2,$28.05 ,"$24,838.07 ",$0.00 ,0,$0.00 ,NO
7C-017147-O,8/1/2022,Pro,17523477697,RS,OIL,165/NO,,,NO,17523477697,XTO ENERGY INC.,NO,0,41749,"$422,871.65 ",YES,47,$476.72 ,"$39,966.97 ","$382,427.96 ",0,$0.00 ,NO
7C-017147-O,8/1/2022,Pro,17523477697,PR,OIL,165/NO,,,NO,11354015700,EXXONMOBIL OIL CORPORATION,NO,0,53160,"$228,975.98 ",YES,60,$258.42 ,"$1,968.66 ","$226,748.90 ",0,$0.00 ,NO
7C-017147-O,8/1/2022,Pro,17523477697,PR,OIL,165/NO,,,NO,12010879950,"ENERGY TRANSFER FUEL, LP",NO,0,299,"$16,243.91 ",YES,1,$18.33 ,$51.13 ,"$16,174.45 ",0,$0.00 ,NO
7C-017147-O,8/1/2022,Pro,17523477697,RG,OIL,231/NO,,,NO,17523477697,XTO ENERGY INC.,NO,0,160476,"$2,361,830.90 ",YES,183,"$2,658.48 ","$210,328.14 ","$2,148,844.28 ",0,$0.00 ,NO
